UTC Time	Azimuth (degrees)	Elevation (degrees)	Range (km)
07-12-2015 05:13:56	119.523485383751	118.35019583393522	113.1584254056786
07-12-2015 05:14:26	-128.31542285168902	74.69343340101268	4.460234117171808
07-12-2015 05:14:56	78.66313013206872	169.56724935438368	200.60359590767632
07-12-2015 05:15:26	82.0653211844666	21.388223374134196	103.28730286650102
07-12-2015 05:15:56	-127.90737741403984	33.42311592968021	755.6270348985993
07-12-2015 05:16:26	134.03494276543216	151.67104039842684	618.470582695466
07-12-2015 05:16:56	-152.9935649772374	154.83271191775728	773.7395194773717
07-12-2015 05:17:26	-57.755354712704246	11.852509946352486	549.4892010810544
07-12-2015 05:17:56	-117.22802597013737	123.61889593224187	316.6558303957811
07-12-2015 05:18:26	-94.66849798735765	108.48124325967227	784.5958362334349
