UTC Time	Azimuth (degrees)	Elevation (degrees)	Range (km)
30-01-2016 05:25:08	-72.3923716825718	29.929376365061955	687.2657331885276
30-01-2016 05:25:38	158.31935107038902	46.92382567817509	267.03780892145153
30-01-2016 05:26:08	-0.10401790363337682	25.567818420763132	285.0215434634671
30-01-2016 05:26:38	97.26544822889383	106.49208496982762	492.75177303590965
30-01-2016 05:27:08	-39.685641370686255	4.624605530186662	403.1815192714321
30-01-2016 05:27:38	-84.94650718806595	82.39546312572432	315.99931351685075
30-01-2016 05:28:08	27.73139119126435	117.37950931763535	706.8263199858724
30-01-2016 05:28:38	162.74147072142165	127.61582557354076	675.3378675721139
30-01-2016 05:29:08	-131.03467030397644	4.780845555086479	900.9992432454968
30-01-2016 05:29:38	156.16409487977478	55.01314614807478	223.0357391853414
